aa	ah
adhiri	put somebody to shame bring into disrepute debase
adhirika	be ashamed debased by doing or by being affected by something unpleasant
adhuhuri	noon
adhuhuri	the period between noon and
adhuhuri	pm
adhuhuri	meridian
adi	escort sb
adia	gift present
adibu	chastise
adibu	teach manners to sb
adibu	decorous good manners
adibu	polite
adidi	count
adidi	enumerate
adidi	prepare make ready
adili	be impartial just righteous
adili	reason
adili	impartial
adili	just
adili	righteous
adilifu	impartial
adilifu	scrupulous
adilifu	upright
adilifu	upstanding
adilifu	moral
adilisha	elevate moralize
adimika	be scarce
adimika	be rare
adimisha	cause something to be scarce or unobtainable
adimu	scarce
adimu	rare
adimu	hard to come by
adinasi	child of a noble birth
admeri	admiral
adrenalini	adrenalin
adua	make an offering to the spirits
adua	prepare a charm against the effects of the evil eye
adua	remove
adui	enemy
adui	foe
adui	opponent in games such as boxing
adui	football
adui	netball etc
advansi	advance
afa	ill-omened person who usually brings bad luck calamity
afadhali	rather
afadhali	better
afadhali	prefarably
afande	respectful or formal address used by a soldier to his her superior
afande	respectful or formal answer of a soldier to his her superiors call
afande	one addicted to sodomy
afasia	aphasia
afiki	agree with
afiki	concur
afiki	correspond to
afikiana	agree together
afikiana	coincide
afikiana	compromise
afikiana	come to an agreement
afikiana	consort
afikiana	contract
afikiana	be reconciled
afisa	officer
afkani	idiot
afkani	moron be mentally deficient
afkani	heart disease
Afrika	Africa
afrikanaizesheni	africanization
afriti	genie who is malignant to people
afriti	evily disposed
afriti	wicked malevolent person
afriti	cunning person impostor
afriti	cheat
afu	blossoms of the wild jasmine used for perfume
afu	save
afu	deliver
afu	pardon
afu	cure
afu	ask for pardon
afu	mercy or salvation from God
afu	Gods forgiveness
afua	good health
afueni	recovery from illness
afwaji	group of people
afwaji	group of armed people troop
afya	i- zi-
afya	health sound condition
afya	strength
afya	bless you cheers
afya	a word used by children to entice each other to do sth
afyuni	opium
aga	take leave of
aga	say goodbye die
agaa	slip off
agaa	slip out of ones hands
agaa	be split
agaa	be scattered
agana	make an agreement
agana	exchange farewells
agano	promise
agano	agreement
agano	contract
AganoJipya	New Testament
AganolaKale	Old Testament
aghalabu	usually
aghalabu	more often
aghalabu	as a rule
agia	befit
agia	agree with
agiza	order
agiza	charge
agiza	enjoin
agiza	prescribe
agiza	commission
agiza	direct
agiza	give instructions
agiza	call upon
agizia	order on behalf order something
agizia	give instructions to sb to do something on your behalf
agizo	order
agizo	commission
agizo	directive
agizo	rescript
agizo	instruction
agizo	ordinance
ago	encampment
ago	camp
ago	thigh
Agosti	August
agronomia	agronomy
agua	treat medically attend a sick person
agua	treat magically to remove a spell or witchcraft
agua	predict
agua	foretell
agua	divine
agua	interpret dreams
aguzi	predictions
aguzi	prophesies
aguzi	interpretations of dreams
aguzi	omen etc
ah	an expression of showing being disturbed or annoyed
ahadharu	green
ahadi	promise
ahadi	promises
ahadi	pledge
ahadi	oblige
ahadi	commitment
ahadi	gage
ahadi	resolute make a promise break a promise keep a promise
ahadi	death
ahali	wife
ahamaru	red
ahera	future life after death
ahera	paradise
aheri	end
aheri	last stage
aheri	finish from beginning to the end
aheri	bargain price
ahidi	promise
ahidi	engage
ahidi	contract
ahidi	undertake
ahiri	procrastinate
ahirisha	postpone
ahirisha	adjourn
ahirisha	suspend
ahirisha	defer
ahirisha	delay
ahirisha	cause to wait
ahirisha	shunt
ahsante	thanks thank you
ahuenisupsup	better condition after illness or hardships
aibikasupsup	be disgraced
aibikasupsup	be put to shame
aibishasupsup	embarrass
aibishasupsup	humiliate
aibishasupsup	discredit
aibishasupsup	disgrace
aibishasupsup	mortify
aibishasupsup	put sb to shame
aibishana	put one another to shame
aibishwa	abash
aibishwa	be disgraced
aibishwa	be dishonoured
aibu	shame
aibu	reproach
aibu	scandal
aibu	obloquy
aibu	compunction
aibu	disgrace
aidha	further
aidha	moreover
aidha	then
aidini	iodine
aila	taz
aili	blame
aili	accuse find guilty
aili	blame
aili	charge
aili	guilt
aina	brand
aina	category
aina	genre
aina	kind
aina	order
ainisha	classify
ainisha	name species
ainisha	break
airisi	iris
aisee	hey
aisee	gosh
ajaa	wonder
ajabia	wonder
ajabia	be surprised
ajabu	wonder
ajabu	uncommon
ajabu	strangeness
ajabu	surprising
ajabu	amazing
ajali	accident
ajali	fate
ajemi	round flat bread
ajenda	agenda
ajenti	agent
ajibu	wonderful wonderfully
ajihi	visit
ajila	urgency
ajila	haste
ajila	rush
ajili	reasons
ajili	cause
ajili	sake
ajili	rush
ajili	hurry
ajinabi	foreigner
ajinabi	stranger
ajinabia	foreign
ajinabia	strange
ajira	employment
ajira	work
ajiri	employ
ajiri	hire
ajiri	engage
ajiri	retain
ajizi	negligence
ajizi	slackness
ajizi	laziness negligent
ajizi	lazy
ajizi	slack
ajizi	be lazy or negligent
ajimaina	all people
ajua	chess game played on a board with two rows of holes in which pebbles are put
ajuza	very old woman
ajuadi	famous
ajuadi	distinguished
aka	build
aka	make a fence of trees or thorn shrubs
aka	no way never
akademia	i- zi- academy
akali	a few
akali	a little
akania	lead a horse by the bridle
akania	bridle
akari	alcoholic drink
akaunti	account
akaunti	reserve
ake	his
ake	her
ake	hers
ake	its
akhiyari	better
akhiyari	more beautiful good people
akia	swallow without chewing
akiba	savings
akiba	hoard
akiba	stock
akiba	supply
akiba	reserve
akida	head of an army
akida	headman during colonial administration messenger
akidi	marriage ceremony
akidi	be enough
akidi	suffice for
akidi	falsify
akidi	forge
akidi	fabricate
akidi	complete
akidi	finish
akidi	quorum
akidu	contractor
akifia	entrust with
akifisha	prohibit
akifisha	forbid
akika	feast made during the first hair cutting of a child usually when it is eight days old
akiki	prayer said at a funeral service of a child who died before his her first hair cut
akiki	ruby
akiki	cornelian
akiki	gully
akili	intelligence
akili	intellect
akili	nous
akili	reason
akili	resource
akili	wit
akili	brain
akili	ingenuity
akina	group of people of similar status
akina	sex
akina	interest etc
akiolojia	archaeology
akisi	reflect
akisi	reverbarate
ako	your
akraba	relatives
akrabu	hand of a clock
akrabu	scorpion
akrabu	one of the four directions of a compass
akrama	respectful
akrama	respectable
akrama	honourable
akronimi	acronymy
akselereta	accelerator
akthari	plenty
akthari	gathering
akua	invade
akua	assault
akua	jump suddenly into something
akua	bluster
akua	affront
akua	attack sb verbally
akwami	groups of people big crowd of people
ala	sheath
ala	scabbard
ala	tool
ala	oh
alaa	oh
alaa	I see with the mind
alaa	by all means
alaala	dont miss
alaala	dont forget
alama	sign
alama	token
alama	mark
alama	clue
alama	stamp
alama	trace
alama	index
alamina	all creatures
alamsiki	goodbye
alamsiki	goodnight
alamu	alarm
alamu	a warning sound or signal
alasiri	late afternoon
alasiri	late afternoon prayer
aleikum	to you all
aleluya	alleluia
aleluya	praise to God
albino	albino
albamu	albam
alfa	alpha
alfaalfa	alfalfa
alfabeti	alphabet
alfabeti	ABC
alfabeti	abc
alfafa	bandage tied to a circumcised penis
alfajiri	dawn
alfajiri	early morning cock crow
alfajiri	early morning prayer
alfa	alpha
alhaji	hadji or hajji
Alhamdulilahi	Praise be to God
Alhamisi	Thursday
alhasili	in short
ali	children or grand children
ali	beautiful
ali	handsome
ali	honourable
alia	put marks on the body usu by flogging
alia	dry fish in the sun or by smoking
alia	arrange fish in a small pot
alifu	first letter of the Arabic alphabet
alifu	ele write a book
alika	explode
alika	invite
alika	bid
alika	seclude sb
alika	youngman woman who has undergone initiation rites
alikali	bandage tied to a circumcised penis
alikisupsup	hang sth
alikisupsup	suspend
alimradi	provided
alimradi	so long as
alimu	well educated and experienced person
alisha	crack
alisha	make an explosive sound
alisha	cause a crack
alizarini	alizarin
alizeti	sunflower plant or seed
aljebra	algebra
alkemia	alchemy
Allah	God
Allahuma	Oh God
almari	chest of drawers
almari	commode
almaria	braid
almaria	embroidery of a hem
almasi	diamond
alofoni	allophone
aloi	alloy
alomofu	allomorph
alpu	alp
altaneta	alternator
altare	altar
altimeta	altimeter
alumini	aluminium
aluminiamu	aluminium
alumnasi	alumnus
alwatani	townsman
ama	or
ama	an expression of surprise
ama	attach
ama	affix
amaa	be dry
amagedoni	armageddon
amali	charm
amali	witchcraft
amali	sorcery
amali	work
amali	act
amali	career
amali	habit
amana	pledge
amana	deposit
amana	gage
amana	trust
amana	security
amana	precious thing
amani	peace
amania	expect
amari	hawser
amari	anchor rope cable
amba	say
amba	explain
amba	talk
amba	may be
amba	perhaps
amba	exactly
amba	thats right
amba	relative stem denoting who
amba	which
amba	where
ambaa	vamoose
ambaa	skirt past
ambaa	pass near
ambacho	which
ambao	which
ambalo	which
ambao	which
ambapo	where
ambako	where where she he is building
ambamo	the house in which she lives
ambaye	who
ambari	ambergris
ambata	stick something together
ambata	attach together
ambatana	cohere
ambatana	stick together
ambatani	compound
ambatani	concomitant
ambatisha	bind
ambatisha	subjoin
ambatisha	attach
ambia	tell sb something
ambia	bid
ambika	make a fish trap by using reeds or nets
ambika	put a bait on a fishing line
ambika	soak in water
ambika	meddle into other peoples affairs he pretends to be what he is not
ambilika	be advisable
ambisha	affix
ambizana	confer
ambo	gum
ambo	glue
ambo	any sticky substance
ambo	contagious disease
ambrosi	ambrosia
ambua	peel off
ambua	shed
ambua	decorticate slough off
ambukiza	infect
amdelahane	soft silk
ameta	ammeter
amfetamini	amphetamine
amfibia	amphibia
ami	paternal uncle
amia	chase away
amia	drive off
amiba	amoeba
amidi	make decision
amidi	decide
amidi	depend on
amikto	amice
amili	realize
amili	know
amili	manage
amili	bring about
amili	make
amili	work
amin	amen
amin	so be it
amini	believe
amini	trust
amini	have faith in
amini	put confidence in entrust
amini	imagine
amini	sworn friend relative
aminifu	upright
aminifu	trustworthy
aminifu	clean
aminifu	loyal
aminifu	straight
aminisha	entrust to with
aminisha	commit to the care of
aminisha	brave through
amiri	begin a thing
amiri	commander
amirika	be firm
amirika	be stable
amirisha	make strong
amirisha	cause to flourish
amisa	confine a girl at her first monthly period
amka	wake up
amka	get up be awake
amka	regain consciousness
amka	be alert
amka	be aware
amka	rise
amkia	greet
amkia	accost
amkia	salute
amkia	come before
amonia	ammonia
ampere	- ampere
amplifaya	amplifier
amrawi	tripping line
amri	command
amri	order
amri	ordinance
amri	directive
amri	edict
amri	authority
amri	rule
amrisha	give orders command
amsha	awaken sb
amsha	arouse
amsha	enkindle
amsha	rouse
amsha	stimulate activate
amsha	vivify
amu	taz
amua	decide
amua	judge
amua	resolve
amua	end a dispute
amua	stop a quarrel
amuali	plenty of wealth
amuru	command
amuru	order
amuru	charge
amuru	enjoin
amuru	prescribe
amuru	direct
amza	greet sb in the morning
ana	face to face
anagramu	anagram
analojia	analogy
anana	soft
anana	gentle
anana	one sixteenth of a rupee
anamometa	anemometer
anasa	pleasure
anasa	enjoyment
anasa	sensuality
anasa	luxury
anatomia	anatomy
andaa	cater
andaa	provide
andaa	prepare
andaa	brew
andaa	put in order
andama	succeed
andama	follow
andamana	demonstrate go in procession
andamizi	senior
andazi	bun
andazi	doughnut
andazi	fried round sweet bread
andika	write
andika	pen
andika	chronicle
andika	inscribe
andika	jot something down
andika	lay table for a meal
andika	satirize
andikisha	enrol
andikisha	register recruit
andishi	written
andisi	think a lot
andisi	direct
andisi	show how to do something
andisi	relax
andisi	enjoy
androjeni	androgen
anemia	anaemia
anerobi	anaerobe
anga	sky
anga	float
anga	levitate
anga	fly
anga	practise witchcraft at night
anga	count
anga	keep guard
anga	anchor
angaanga	examine
angaanga	observe
angalau	although
angalau	even though
angalia	look
angalia	view
angalia	pay attention
angalia	think
angalia	take thought for
angalia	be careful
angalia	beware
angalia	regard
angalia	take care of
angalia	review
angalia	take special note
angalia	tend
angalifu	accurate
angalifu	canny
angalifu	careful
angalifu	crupulous
angalifu	cautious
angalifu	circumspect
angalifu	observant
angalifu	careful
angalifu	attentive
angalilia	consult a soothsayer
angama	be in mid-air
angama	levitate
angama	be suspended
angamia	sink be destroyed
angamia	perish
angasa	hold something back
angasa	push back
angasa	chase
angasa	drive out
angatia	carry shoulder high
angavu	transparent
angavu	limpid
angavu	lucent
angavu	pellucid
angavu	clear
angavu	fine
angavu	clever
angavu	quick witted
angavu	enlightened
angavu	bright
angavu	luminous
angavu	shining
angavu	blaze
angaza	give light
angaza	illuminate
angaza	irradiate
angaza	shine
ange	carefully
ange	ready
angema	despair
angika	hang
angika	suspend esp against a wall
angika	tree etc
anglikana	anglican
angu	my
angu	mine possessive adjectival root for the first person singular
angua	knock down
angua	throw down
angua	hatch out
anguka	come down
anguka	fall down
anguka	drop
anguka	crash
anguka	lose in a business
anguka	fail
angukia	fall into on onto
angukia	beg for forgiveness
angukia	plead
angusa	make haste
angusa	hurry
angusa	do something fast
angusha	drop
angusha	topple
angusha	precipitate
angusha	spill
angusha	tumble
angusha	overbalance
angusha	overthrow esp a govemment or a ruler
angusha	let sb down
anika	put out to dry
anika	expose to the sun or air
anisi	gratify
anisi	give pleasure to
anisi	indulge
anisi	luxurious pleasing
anjali	waist belt
anjaza	extend
anjaza	expand
anjaza	spread
ankra	invoice
ankra	bill of sale
ansari	humanitarian
Antaktiki	Antarctic
antena	antenna
anthropolojia	anthropology
antifona	antiphon
antijeni	antigen
antiseptiki	antiseptic
antitoksini	antitoxin
anua	take out of the sun
anua	air
anua	rain
anuka	stop raining
anuka	clear up
anuai	various
anwani	address
anza	start
anza	begin
anza	initiate
anza	launch
anza	commence
anzali	good for nothing
anzali	a despised person
anzia	emanate
anzisha	actuate
anzisha	begin
anzisha	commence
anzisha	constitute
anzisha	establish
anzisha	initiate
ao	their
ao	theirs
aorta	aorta
apa	swear
apa	take an oath
apisha	administer an oath
apiza	curse
apiza	damn
apiza	imprecate
apiza	execrate
apizo	curse
apizo	imprecation
apostrofi	apostrophe
aprikoti	apricot
Aprili	April
aproni	apron
apua	break an oath
apua	retract an oath
araka	arrack
araka	a distilled liquor usually from aniseed drunk in the Middle East
araknida	arachid
arbuni	down payment
arbuni	deposit
ardhi	land soil
ardhia	wharfage
ardhia	port tax
ardhilhali	application
ardhilhali	resolutions
ari	zeal
ari	ethusiasm
ari	eagerness
ari	initiative
ari	spirit
aria	part of something bunch
ardha	job application
aridhi	annoy or disturb
aridhia	state
arifia	bid
arifu	inform
arifu	tell
arifu	declare
arifu	explain
arifu	notice
arifu	predicate
arifiwa	well informed
arihami	maternal relative
arijojo	go astray
arijojo	out of control
arijojo	aimlessly
ariki	essence
Arkadia	Arcadia
armada	armada
armadilo	armadillo
arshi	compensation for causing somebody to bleed
arshi	Gods throne
arshi	throne of the ruler
aruba	four
arubaini	forty
arubaini	period of forty days after a woman has given birth
arubaini	commemoration held within forty days after somebodys death
arubatashara	fourteen
arubaishirini	twenty four
arubii	i- zi- fast
arubii	quick
arubii	rapid
arufu	mane
arudhi	prosody
arusi	nuptials
arusi	wedding ceremony
arzaki	plenty of fortune
asa	warn
asa	forbid
asa	staff
asa	walking stick
asaa	may be
asaa	in case
asadi	lion
asadi	hero heroine
asali	honey
asante	thank you
asasi	the begining
asasi	or the essence of something
asasi	institution
asbesto	asbestos
asfari	yellow
ashakum	word used before mentioning something vulgar or shameful
ashara	ten
asherati	prostitute
ashiki	have a passion for something
ashiki	be enamoured of with
ashiki	be in love with
ashiki	concupiscence
ashiki	libido
ashiki	strong desire
ashiki	affection
ashiki	fondness
ashirafu	exalted
ashirafu	grand
ashirafu	glorious
ashiria	signal to
ashiria	make a sign
ashiria	semaphore
ashiria	gesticulate
ashiria	spell
ashiria	indicate by sign
ashiria	betoken
ashikirimu	ice cream
ashiya	sunset
ashiya	evening
ashukuri	plural for sahari
asi	rebel
asi	defy
asi	infringe
asi	insubordinate
asi	recusant
asi	renegade
asi	revolt
asi	kick over the traces
asi	resist an order
asi	disobey
asi	betray
asi	defect
asi	fail to carry out instructions
asi	bolshy
asidi	acid
asighari	small
asilani	never
asilani	not at all
asili	nucleus
asili	origin
asili	birth
asili	bottom
asili	never
asilikumi	one tenth
asilikumi	decimal
asilimia	percentage
asira	war captive
asira	something extracted of its oil
asira	taste and smell
asiria	modern
asiria	up to date a modern person
asisi	found
asisi	start
asisi	commence
asisi	begin
asisi	establish
asisi	plant
asiya	a portion or part of a thing remainder
asiya	symptoms
askari	soldier
askari	guard
askari	ascar
askofu	bishop
askofu	prelate
asmini	jasmine
asparaga	asparagus
aspireta	aspirator
asprini	aspirin
asteaste	slowly
asteaste	not in a hurry
asteroidi	asteroid
astrolabu	astrolabe
asubuhi	morning
asusa	bites
asusa	snack
atamia	sit on eggs
atamia	incubate
atamia	brood
ateri	artery
athari	effect
athari	result
athari	impact
athari	prejudice
athiri	effect
athiri	infect act
ati	hey indeed hah
atia	gift
atia	present
atia	talent
atibu	criticize
atibu	condemn
atifali	children
atika	transplant
atili	waste time
atilika	be injured
atilika	be deformed as a result of illness or accident
atilika	be spoilt
atilika	be damaged
atilika	totter in a state of disrepair
atlasi	satin
atlasi	atlas
atomiki	atomic
atomu	atom
atua	surprise
atua	shock
au	or
aua	investigate carefully
aua	inspect
aua	examine
aua	survey
aua	make out boundaries
aua	follow footsteps
aua	give fruits
aua	produce
aua	cleanse
aua	demarcate
aula	better
aula	superior
auladi	male children
auni	give assistance help
auni	assistance
auni	help
auni	subserve
aunsi	ounce
aushi	for life
aushi	standing
aushi	permanent
auta	house
auta	residence
aviza	assist
avya	abort
avya	squander
awa	sweat
awali	first
awali	origin
awali	cause
awali	above
awamu	phase
awesia	small ship of Oman with one or two masts
awesia	perpendicular stem and stern
awesia	now obsolete
aya	paragraph
ayali	family
ayami	many
ayari	cheat
ayari	rogue
ayari	humbug
ayari	impostor
ayari	knave
ayari	tackle
ayari	anchor rope
azali	eternal
azima	borrow
azima	lend
azima	charm
azima	amulet
azimio	declaration
azimu	prepare a charm or talisman
azimu	decide
azimu	intend premeditate
azimu	resoleve
aziri	disrespect
aziri	disgrace
aziri	degrade
aziri	disparage
azizi	valuable thing
azizi	something rare
azizi	souvenir
azizi	rarity
azizi	treasure
azizi	lover
azma	intention desire
azma	purpose
azmamu	taz
baa	evil
baa	disaster
baa	calamity
baa	misfortune
baa	danger
baa	plague
baa	bar
baa	pub
baa	scapegrace
baada	after
baadaye	thereafter
baadaye	afterwards
baadaye	then
baadaye	later
baadhi	some
baadhi	a selection
baadhi	a section
baadhi	a portion
baathi	resurrect
baathi	raise up
baba	father
baba	sire
babadua	disfigure
babadua	distort
babadua	twist
babadua	peel off
babadua	detach
babadua	break apart
babaifu	hesitant
babaifu	confused
babaika	be confused
babaika	stutter
babaika	hesitate
babaika	be mesmerized
babaika	dream aloud while asleep
babaisha	confuse
babaisha	pretend
babaisha	beat about the bush br
babaje	beche-de-mer
babaje	large sea slug
babaka	argue
babaka	dispute
babakrismasi	father christmas
babata	beat lightly
babatana	stick together br
babatua	disfigure
babatua	disform
babatua	separate by force
babe	giant
babeli	the Tower of Babel
babewana	owl widely believed to be a bad omen
babia	fumble beat about the bush
babu	grandfather
babu	ancestor
babu	respectable name given to an old man
babu	patriarch
babu	progenitor
babu	call used among women friends
babu	male leader of a womens dancing group male advisor to a womens organisation
babu	piece of cloth
babu	child sickness
babu	chapter
babua	scald
babua	peal off skin as with fire
babua	hot water or illness
babua	char superficially
babua	singe
babua	slap
babua	box someones ears
bacha	shelf in a wall
bada	stiff porridge prepared from fermented cassava flour
badala	instead of
badala	on behalf of
badamu	almond
Badani	front or back piece of a calico gown
Badani	body
Badani	trunk
Badhiri	embezzle
Badhiri	squander
Badhiri	dissipate
badhirifu	extravagant
badhirifu	wasteful
badhirifu	improvident
Badili	substitute
Badili	adapt
Badili	inflect
Badili	change
badilisha	exchange
Badiri	full moon
Badiri	various celestial phenomena and omens
badisi	corsage
Bado	not yet
Bado	still
bafa	buffer
bafe	puff-adder
Bafe	buffet
bafta	calico lawn
bafu	bathroom
bafu	bathtub
Baghala	ornamented dhow brig
baghala	mule
baghami	idiot
baghami	fool
baghami	a stupid person
bagua	separate
bagua	discriminate against
bagua	segregate
bahaimu	four-legged animal
bahaimu	good-for-nothing fellow
bahaluli	stupid person
bahameli	velvet
bahari	ocean
bahari	sea
bahari	the deep
baharia	sailor
baharia	seaman
baharia	blue-jacket
baharia	matelot
baharia	member of a ships crew
bahasa	cheap
bahasa	inexpensive
bahasha	envelope
bahasha	satchel
bahasha	packet a small parcel
bahashika	be perplexed
bahashika	be worried
bahashika	fail to reach decision on what to do
bahashishi	gratuity baksheesh
bahashishi	douceur
bahashishi	tip
bahati	luck
bahati	fortune
bahati	chance
bahatisha	hazard
bahatisho	- adventurism
bahau	fool
bahau	idiot
bahau	imbecile
bahili	miser
bahili	niggard
bahili	tight-fisted person illiberal
bahili	stingy
bahili	ungenerous
bai	elect sb for a leadership position
bai	support
bai	be on the side of sb
baibui	purdah
baidhati	fair skin and beautiful
baidi	far
baidi	distant
baidika	be isolated be separated
baidika	keep aloof apart
baina	either or
baini	realize
baini	recognize
bainifu	evident
bainifu	distinguishable
bainifu	recognizable
bainika	be evident
bainika	be obvious
bainika	transpire
bainisha	clarify
bainisha	differentiate
bainisha	bare
bairi	camel
baisani	bison
baiskeli	bicycle
baiskeli	velocipede
baiti	house
bajeti	budget
bajia	cake of ground lentils and pepper
baka	spot
baka	birth-mark
baka	blemish scar blight
baka	rape
baka	ringworm
bakaa	remains
bakaa	remnant
bakaa	balance
bakalhadi	viscid sap of a certain tree used as medicine for stomach pains and other disorders
bakari	cow
bakarikichwa	bullhead
bakaya	animal of the hyena family who likes to live near water
baki	remainder
baki	residue balance
baki	left-overs unrelated
baki	remain
bako	palm
bako	handful
bakoli	buckle
bakora	walking-stick
bakora	crook
bakora	malacca cane
bakora	stroke with a stick
bakteria	bacteria
bakua	take away by force
bakua	rob
bakua	strike
bakuli	bowl
bakuli	a large dip dish
bakunja	careless person
balaa	calamity
balaa	plague
balaa	grief
balaa	incubus
balaa	misfortune
balagha	eloquent person
balagha	rhetoric
balaghamu	phlegm
balaghamu	sputum
balari	chisel
balasi	large jar with a narrow neck
balbu	bulb
bale	ballet
balehe	reach puberty
bali	but
bali	on the contrary
bali	be unconcerned
bali	ear-ring
balia	calamity
balia	misfortune
balighisha	convey words or greetings to sb
balozi	ambassador
balozi	high commissioner
baluni	balloon
balungi	grapefruit
balungi	shaddock
bamba	arrest
bamba	apprehend
bamba	seize
bamba	nab
bamba	block
bamba	clog
bamba	sheet
bamba	slab
bamba	slat
bamba	flat thin piece of anything
bambam	precisely everything is OK
bambakofi	fruit of mbambakofi
bambanya	repair
bambanya	fumble
bambatua	detach
bambatua	peel
bambatua	strip off
bambika	soak in water
bambo	grooved pointed iron instrument used for drawing samples of grain from a sack
bambo	walking-stick
bambo	type of palm leaves used for making mats
bambo	baskets etc
bambo	basket made from palm leaves
bambua	fish with a whistle-like mouth
bambua	strip off
bambua	peel off
bambua	shell
bambua	bare
bambua	bark
bambua	chip
bambuti	fish with spines like those of a porcupine
bamia	okra
bamia	ladys fingers
bamiza	slam
bamiza	bang
bamvua	spring tide
bana	press
bana	squeeze
bana	tight
bana	close fit clip tightly
bana	stick fast
bana	jam
bana	clamp down
banana	be squeezed together
banana	be packed tightly together
bananga	spoil
bananga	destroy
bananga	devastate
bananga	muddle along
banati	girl
banda	shed
banda	barrack
banda	barn
banda	hut hovel
bandali	bundle
bandama	spleen
bandari	harbour
bandari	port
bandari	berth
bandari	roadstead
bandari	harbour town
bandi	tack
bandi	baste
bandia	doll
bandia	dummy
bandia	imitation artificial
bandia	spurious
bandia	counterfeit
bandika	stick on
bandika	apply
bandika	affix
bandika	agglutinate
bandika	paste
bandika	make payment by instalment plan
bandiko	act of sticking together
bandu	splinters from wood log tree
bandua	detach peel off strip off
banduka	be detached
banduka	be peeled off
banduka	chip away
banduru	bilge
banduru	sludge-well
bang'ang'a	type of civet-cat
bangaya	ships hull under construction
bangaza	watchman
bangaza	leave the door ajar
bangi	bhang
bangi	hashish
bangi	Indian hemp
bangi	marijuana
bangili	bangle
bangili	bracelet
bangili	armlet
bango	stem of a coconut leaf
bango	placard
bango	poster
bango	hoarding
bango	mud guard
bango	board
bangua	shell a nut crack pods
bangwa	unfinished construction building under construction
bania	be mean
bania	spare
bania	skimp be frugal
baniani	banian
baniani	banyan
banika	grill roast
banika	toast
banika	broil
banja	crack break
banja	split
banja	strike
banja	bark up the wrong tree
banki	taz benki
banjo	banjo
bano	cramp
bantamu	bantam
bantu	bantu
banua	unfasten
banua	release
banua	loosen
banza	hide
bao	board
bao	playing board
bao	goal
bao	score
bapa	blade
baptisti	baptist
bara	continent
barabara	exactly
barabara	quite right
barabara	slick
barabara	accurate
barabara	all right
barabara	perfect
barabara	highway
barabara	road
barabara	street
barabara	turnpike
barabara	way
barabara	avenue
barabara	crowned horn bill
baradhuli	riff-raffe
baradhuli	blockhead
baradhuli	noodle
baradhuli	numbskull
baradhuli	slob
baradhuli	impudent
barafu	ice
baragumu	trumpet
baragumu	clarion
baragumu	horn
baragumu	bugle
baraji	halyard
baraji	tripping line
baraji	brace
baraka	blessing
baraka	benediction
baraka	boon
baraka	favour
barakala	servile
barakala	flatterer
barakala	boot-licker
barakala	stooge
barakinya	brig
barakinya	schooner
barakoa	veil
barakoa	mask
barakoa	yashmak
baramaki	show-off self-conceited person
baramaki	cunning person
barangeni	dhow of two colours
barasati	coloured dress
barasi	skin disease which leaves black or white patches on the skin
baraste	ballasted and rolled road
baraste	speedway
barawaji	silk shawl worn round the waist
baraza	verandah
baraza	living sitting room
baraza	parlour for receiving visitors
baraza	council
